model,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
baseline_logistic_regression,0.9681277768080631,0.08530022910117747,0.7463869463869464,0.1531031844697332,0.8290989798918278,536406,17168,544,1601
improved_random_forest,0.9958306266296456,0.4375907111756168,0.2811188811188811,0.3423218847573091,0.9395210136213147,552799,775,1542,603
