model,artifact,n_training_rows,training_fraud_rate
baseline_logistic_regression,D:\ML Group Assignment\outputs\models\baseline_logistic_regression.joblib,1296675,0.005788651743883394
improved_random_forest,D:\ML Group Assignment\outputs\models\improved_random_forest.joblib,1296675,0.005788651743883394
